alpha_gt,seed,method,alpha_rec,fit_r2,alpha_err_pct,val_mse,latent_corr,false_positive
0.0,42,MLP,0.11902353174767939,0.3505443498437915,,1.4166200799081707e-06,0.29116489392795736,1
0.0,42,Vanilla xLSTM,0.11553535603830793,0.06890726193423721,,4.6068186065895134e-07,0.31775408030202373,1
0.0,42,Manual Psi-xLSTM,0.13434052327112614,0.7452698644032048,,3.227124523164093e-07,0.2673166544299529,1
0.0,42,Psi-Vortex,0.03733923800595291,0.13875546163331026,,1.98942654017209e-10,0.3180394730486162,1
0.0,123,MLP,0.13441713889559107,0.5016088528788005,,2.617641428059869e-07,0.4106496378537885,1
0.0,123,Vanilla xLSTM,0.15080902774475674,0.13134533032202597,,1.8282003111380618e-06,0.40448713941593195,1
0.0,123,Manual Psi-xLSTM,0.18778959664263276,0.41370105568495613,,1.5269971527231974e-06,0.207761568686312,1
0.0,123,Psi-Vortex,-0.0005112366904704142,0.7281641700798954,,6.37718090140682e-12,0.4023153634974339,0
0.0,456,MLP,0.1414237530610886,0.06353105705002007,,1.0835117336682742e-07,0.19716850459246804,1
0.0,456,Vanilla xLSTM,0.2791684531369282,0.07244754151486825,,2.91807264147792e-05,0.2657291260227795,1
0.0,456,Manual Psi-xLSTM,0.1256912549222779,0.1229653427405446,,2.940413139640441e-07,0.1871074884978503,1
0.0,456,Psi-Vortex,-0.034781398014450675,0.5064450383516762,,4.731788849632323e-10,0.20510252324428868,1
0.03,42,MLP,0.11865206858145544,0.3667042204208448,295.50689527151815,1.4155384633340873e-06,0.2911653246080004,0
0.03,42,Vanilla xLSTM,0.11510419098181351,0.07314078548806191,283.680636606045,4.599481826517149e-07,0.317754333356758,0
0.03,42,Manual Psi-xLSTM,0.13614110986172082,0.739062451049853,353.8036995390694,3.22572503819174e-07,0.26733124557343074,0
0.03,42,Psi-Vortex,0.04078232882978523,0.05551634871058479,35.94109609928412,1.7246690187100455e-10,0.31793892600611234,0
0.03,123,MLP,0.11693525086540305,0.5995125798106871,289.7841695513435,2.6224037696920277e-07,0.4106493595026392,0
0.03,123,Vanilla xLSTM,0.15091883531186517,0.13156589584651457,403.062784372884,1.8294252868145122e-06,0.4044829523990591,0
0.03,123,Manual Psi-xLSTM,0.18786375005830994,0.41363299739739623,526.2125001943665,1.5272333939719829e-06,0.20769099570261687,0
0.03,123,Psi-Vortex,-0.012417405617504805,0.3022608198580459,141.39135205834933,1.9158355457626897e-11,0.4023749570698328,0
0.03,456,MLP,0.14207942323868403,0.05938181156390458,373.5980774622801,1.084479066548738e-07,0.1971682994301529,0
0.03,456,Vanilla xLSTM,0.2790019445907626,0.06988016923298436,830.0064819692087,2.9180637284298427e-05,0.2657289867759244,0
0.03,456,Manual Psi-xLSTM,0.12808068925273497,0.11083098537455137,326.9356308424499,2.9427019399008714e-07,0.1870914278660599,0
0.03,456,Psi-Vortex,-0.01713586675670553,0.6450480128173648,157.11955585568512,4.994462621255025e-10,0.20509715076706575,0
0.05,42,MLP,0.11775635044920758,0.3900315411003191,135.51270089841518,1.4135353012534324e-06,0.2911661548429045,0
0.05,42,Vanilla xLSTM,0.1147600395860342,0.07663384332759299,129.5200791720684,4.5883908228461223e-07,0.3177547144608806,0
0.05,42,Manual Psi-xLSTM,0.11382219101143494,0.18132533728154582,127.64438202286988,3.2237090863418416e-07,0.2673541424648679,0
0.05,42,Psi-Vortex,0.049933806139782426,0.12375555273210505,0.13238772043515368,1.4735579423330591e-10,0.31777743655919644,0
0.05,123,MLP,0.10358884977768451,0.6605742756664164,107.177699555369,2.6340595127294364e-07,0.4106489949356573,0
0.05,123,Vanilla xLSTM,0.15129749568452058,0.1404584178630801,202.59499136904117,1.830418568715686e-06,0.4044771454592777,0
0.05,123,Manual Psi-xLSTM,0.18797061044385072,0.41346506092174673,275.94122088770143,1.5275414853022085e-06,0.20758658954747186,0
0.05,123,Psi-Vortex,-0.013449653691993173,0.03732135657459053,126.89930738398635,7.872878737824607e-11,0.40247258547193693,0
0.05,456,MLP,0.14275830298779815,0.053051323918235034,185.5166059755963,1.0877173650669647e-07,0.1971680461074617,0
0.05,456,Vanilla xLSTM,0.2787885583778478,0.06621347315606463,457.57711675569556,2.91780070256209e-05,0.2657290338111877,0
0.05,456,Manual Psi-xLSTM,0.13116590612269224,0.11745055459299801,162.33181224538447,2.9457652317432803e-07,0.18707337608923652,0
0.05,456,Psi-Vortex,-0.006351962261408977,0.3978041463451203,112.70392452281797,5.490297660948329e-10,0.2050904969156502,0
0.08,42,MLP,0.1133105884630676,0.49336537924663454,41.6382355788345,1.4051845482754288e-06,0.2911693402635306,0
0.08,42,Vanilla xLSTM,0.11329829396225584,0.07903752348153915,41.6228674528198,4.5447808361132047e-07,0.31775623161244876,0
0.08,42,Manual Psi-xLSTM,0.10636873969289039,0.08849525654215747,32.96092461611298,3.2200279065364157e-07,0.26744138170086384,0
0.08,42,Psi-Vortex,0.06687601028255064,0.07027057389066863,16.40498714681171,1.3006114241154165e-10,0.3171713906970082,0
0.08,123,MLP,0.09347144611113364,0.6318354042704913,16.839307638917052,2.700181482850894e-07,0.4106477560504255,0
0.08,123,Vanilla xLSTM,0.15269217202115948,0.17401746727597048,90.86521502644935,1.8327052657696186e-06,0.40445848889366587,0
0.08,123,Manual Psi-xLSTM,0.1613132494667346,0.49261696768130386,101.64156183341824,1.528716552456899e-06,0.20721868559033463,0
0.08,123,Psi-Vortex,0.04600632011171131,0.04464017656631301,42.49209986036087,9.141066237283724e-10,0.40288640729754727,0
0.08,456,MLP,0.14445667509422436,0.03571866896619315,80.57084386778044,1.1060701154974595e-07,0.19716724339495392,0
0.08,456,Vanilla xLSTM,0.27835951511109447,0.05864838208508106,247.9493938888681,2.9169437766540796e-05,0.2657293338953351,0
0.08,456,Manual Psi-xLSTM,0.13782744248246104,0.11765647580514936,72.2843031030763,2.9572464654847863e-07,0.1870252105538543,0
0.08,456,Psi-Vortex,0.028187644207699897,0.002586004263443347,64.76544474037513,8.291560771311879e-10,0.20507167881387087,0
0.1,42,MLP,0.11323685305038779,0.6349777932328358,13.236853050387785,1.3924047834734665e-06,0.291174647946049,0
0.1,42,Vanilla xLSTM,0.11204889137246477,0.0653429114530406,12.048891372464759,4.502803676587064e-07,0.3177587924199543,0
0.1,42,Manual Psi-xLSTM,0.0852561615690685,0.006287641593555439,14.743838430931508,3.2284876283483754e-07,0.2675837304944032,0
0.1,42,Psi-Vortex,0.08136333657075057,0.0111169568498513,18.636663429249438,2.546780841772289e-10,0.31624782627767156,0
0.1,123,MLP,0.09950276477236332,0.42719491836794043,0.49723522763668593,2.855923071365396e-07,0.41066489146328006,0
0.1,123,Vanilla xLSTM,0.15474079360876605,0.21960023771299858,54.74079360876605,1.8320147319172975e-06,0.40443210761056425,0
0.1,123,Manual Psi-xLSTM,0.1460833790735422,0.6501168256161851,46.083379073542204,1.531534394416667e-06,0.206659687874965,0
0.1,123,Psi-Vortex,0.07261159056895301,0.04637069707395839,27.388409431046988,4.96550889295122e-09,0.4037075768238931,0
0.1,456,MLP,0.14500167617108392,0.004187434619254058,45.001676171083915,1.1405617073023677e-07,0.1971661009636693,0
0.1,456,Vanilla xLSTM,0.2786138855624144,0.05777977530578025,178.61388556241437,2.9149348847568035e-05,0.2657297732347249,0
0.1,456,Manual Psi-xLSTM,0.14495871547533987,0.12116562342378936,44.95871547533986,2.9732362349932373e-07,0.1869679228018464,0
0.1,456,Psi-Vortex,0.06284094943377322,0.017603906440736315,37.15905056622679,1.5750748483256416e-09,0.20504744396841462,0
0.15,42,MLP,0.16256998869119213,0.0004735577611867759,8.379992460794758,1.4599481801269576e-06,0.29123274454465126,0
0.15,42,Vanilla xLSTM,0.1497598556686358,0.01723705146516692,0.16009622090945586,6.271764050325146e-07,0.3177863723421374,0
0.15,42,Manual Psi-xLSTM,0.143620127757185,0.12415277451788796,4.253248161876666,4.4989482717028295e-07,0.269058847975737,0
0.15,42,Psi-Vortex,0.12776595096482835,0.002878965527121989,14.822699356781099,9.036940085138667e-09,0.32036765513167537,0
0.15,123,MLP,0.1508992502904998,0.325791240686378,0.5995001936665394,7.347936161750113e-07,0.4106439038985498,0
0.15,123,Vanilla xLSTM,0.16450669694008668,0.3282139639431999,9.671131293391126,1.9657852590171387e-06,0.40421859832856694,0
0.15,123,Manual Psi-xLSTM,0.12729895020497084,2.3432634969669748e-05,15.134033196686103,1.7855404621514026e-06,0.20148121378733932,0
0.15,123,Psi-Vortex,0.13194055471098454,0.04324839114919635,12.039630192676972,3.6563022831614944e-07,0.4157493626227646,0
0.15,456,MLP,0.16178823868560763,0.03991245941433787,7.858825790405088,1.642878970642414e-07,0.1971569616316076,0
0.15,456,Vanilla xLSTM,0.2765996638950451,0.025420864562151167,84.39977593003006,2.8938371542608365e-05,0.2657348381946472,0
0.15,456,Manual Psi-xLSTM,0.1797430933551218,0.11382555454215576,19.828728903414547,3.2586547149549006e-07,0.1866047438078134,0
0.15,456,Psi-Vortex,0.12743692842553697,0.007650623734609139,15.042047716308682,2.784725161575352e-08,0.20489534158318246,0
0.2,42,MLP,0.22122787884340395,0.1010770438006914,10.613939421701968,1.4658609870821238e-05,0.29163692432898414,0
0.2,42,Vanilla xLSTM,0.21473010457513764,0.19679486418739484,7.365052287568813,1.505619366071187e-05,0.3179365214464887,0
0.2,42,Manual Psi-xLSTM,0.20227570084878274,0.6031791995407035,1.137850424391365,7.077723239490297e-06,0.27778254306746003,0
0.2,42,Psi-Vortex,0.196505486328647,0.031339835760264965,1.7472568356765028,1.5900495782261714e-06,0.6473684503685346,0
0.2,123,MLP,0.2092298067220822,0.5089585369664724,4.6149033610410894,2.7224385121371597e-05,0.4105356859537576,0
0.2,123,Vanilla xLSTM,0.2135138371020849,0.41653700093013707,6.756918551042449,2.309817682544235e-05,0.4032906946829695,0
