variant,epochs_to_thr,wall_s,val_mse,params,eff_dof,alpha_err_pct,manual_decisions
Baseline Psi-xLSTM,47.333333333333336,4.1724724769592285,1.0485540371973912e-05,16305.0,5.529356161753337,126.81249212271241,4
Init-only (expert),6.666666666666667,4.1742634773254395,6.244412810903673e-10,16305.0,2.0179452101389566,41.22084391584924,3
Init-only (auto),6.666666666666667,3.952225923538208,6.244412810903673e-10,16305.0,2.0179452101389566,41.22084391584924,1
BIC-only,47.333333333333336,4.2659304936726885,1.0485540371973912e-05,16305.0,5.3094503084818525,179.35059365784127,3
Arch-select only,71.0,4.190287431081136,7.509728182715965e-06,43657.0,5.447986761728923,149.60458416724632,2
Init + BIC,6.666666666666667,4.239114999771118,6.244412810903673e-10,16305.0,2.0165626207987466,195.14545430554026,1
Full Psi-Vortex,4.666666666666667,4.116361776987712,1.1372129673133575e-09,43657.0,2.01377272605896,100.0,0
