seed,variant,init,arch_select,bic,epochs_to_thr,wall_s,val_mse,params,eff_dof,alpha_err_pct,manual_decisions
42,Baseline Psi-xLSTM,random,False,False,114,4.1970720291137695,4.5447808361132047e-07,16305,5.4833083152771,41.6228674528198,4
42,Init-only (expert),physics,False,False,10,4.262227773666382,1.3006114241154165e-10,16305,2.0184879302978516,16.40498714681171,3
42,Init-only (auto),auto,False,False,10,3.9715323448181152,1.3006114241154165e-10,16305,2.0184879302978516,16.40498714681171,1
42,BIC-only,random,False,True,114,4.387244462966919,4.5447808361132047e-07,16305,5.3938446044921875,35.8638305246637,3
42,Arch-select only,random,True,False,120,4.3212525844573975,1.2173958339189994e-06,4313,5.8282012939453125,57.741884077999714,2
42,Init + BIC,physics,False,True,10,4.264757871627808,1.3006114241154165e-10,16305,2.0190207958221436,78.19038676061788,1
42,Full Psi-Vortex,auto,True,True,5,4.13978910446167,1.5842454015313479e-09,4313,2.016580581665039,100.0,0
123,Baseline Psi-xLSTM,random,False,False,24,4.281099319458008,1.8327052657696186e-06,16305,5.456856727600098,90.86521502644935,4
123,Init-only (expert),physics,False,False,7,4.173217535018921,9.141066237283724e-10,16305,2.0174732208251953,42.49209986036087,3
123,Init-only (auto),auto,False,False,7,4.120320081710815,9.141066237283724e-10,16305,2.0174732208251953,42.49209986036087,1
123,BIC-only,random,False,True,24,4.186233997344971,1.8327052657696186e-06,16305,4.983397960662842,192.24749733011296,3
123,Arch-select only,random,True,False,47,4.162798166275024,1.4873632608214393e-05,63329,5.244302749633789,205.17829077388518,2
123,Init + BIC,physics,False,True,7,4.274731397628784,9.141066237283724e-10,16305,2.0146381855010986,205.39164710034638,1
123,Full Psi-Vortex,auto,True,True,4,3.977269172668457,1.638482238774941e-09,63329,2.012936592102051,100.0,0
456,Baseline Psi-xLSTM,random,False,False,4,4.039246082305908,2.9169437766540796e-05,16305,5.6479034423828125,247.9493938888681,4
456,Init-only (expert),physics,False,False,3,4.087345123291016,8.291560771311879e-10,16305,2.0178744792938232,64.76544474037513,3
456,Init-only (auto),auto,False,False,3,3.7648253440856934,8.291560771311879e-10,16305,2.0178744792938232,64.76544474037513,1
456,BIC-only,random,False,True,4,4.224313020706177,2.9169437766540796e-05,16305,5.551108360290527,309.94045311874714,3
456,Arch-select only,random,True,False,46,4.086811542510986,6.438156106014503e-06,63329,5.271456241607666,185.89357764985402,2
456,Init + BIC,physics,False,True,3,4.177855730056763,8.291560771311879e-10,16305,2.016028881072998,301.8543290556565,1
456,Full Psi-Vortex,auto,True,True,5,4.232027053833008,1.8891126163378402e-10,63329,2.01180100440979,100.0,0
