method,val_mse,params,eff_dof,K_mean,K_std,r_mean,r_std,alpha_err_pct,manual_choices
L2 + k-means,4.399784120323602e-05,1302.0,1.1627519925435383,8.0,0.0,15.666666666666666,0.5773502691896255,176.86954016534796,high
L1 + k-means,6.631459988663362e-05,1302.0,1.196982781092326,8.0,0.0,16.0,0.0,193.3244772042909,high
Fixed K=4 / r=4,0.0002418385289881068,1302.0,1.937125325202942,8.0,0.0,4.0,0.0,100.0,high
BIC-only,1.8739503767998638e-06,1302.0,1.0053381125132244,8.0,0.0,5.0,6.928203230275509,147.26112833480866,medium
Full Psi-Vortex,4.931434427479786e-10,1302.0,1.0,1.0,0.0,1.0,0.0,41.37675535657984,low
