geometry,tau_th,heat_coeff,n_victims,alpha_err_pct,latent_corr,latent_states,val_mse,failed
spacing 50um (strong),0.05,1200.0,1,20.741390910637545,0.3083648729896103,8,1.0901025230639997e-08,0
spacing 100um (nominal),0.05,800.0,1,41.22084391584924,0.30837649226947544,8,6.244412810903673e-10,0
spacing 200um (weak),0.05,450.0,1,84.5620782041892,0.3084545556714043,8,2.4654951922646145e-10,0
vertical R x2,0.05,400.0,1,84.57198551062747,0.30846055194092536,8,2.386884093152908e-10,0
vertical R x5,0.05,160.0,1,137.08941392983095,0.30847968519381813,8,2.2640637368370742e-10,1
tau fast,0.02,800.0,1,83.22747779550957,0.39312120949652735,8,2.496445995527526e-10,0
tau slow,0.1,800.0,1,25.502344784659886,0.26667602147128155,8,8.643914103008873e-09,0
2 victim layers,0.05,800.0,2,41.22084391584924,0.30837649226947544,8,6.244412810903673e-10,0
4 victim layers,0.05,800.0,4,41.22084391584924,0.30837649226947544,8,6.244412810903673e-10,0
