alpha,noise_pct,N,alpha_err_pct,latent_corr,K_std,failure_rate
0.05,0.0,500,200.23792694470413,0.4422010990503316,0.0,1.0
0.05,0.0,1000,90.15784291816249,0.08039825585583944,0.0,1.0
0.05,0.0,2000,58.01207028343344,0.307992766218855,0.0,0.6666666666666666
0.05,0.0,5000,78.63970250683847,0.1895881177544196,0.0,0.3333333333333333
0.05,1.0,500,200.23996520423987,0.4422011986751196,0.0,1.0
0.05,1.0,1000,89.96189984502541,0.0803961319134387,0.0,1.0
0.05,1.0,2000,58.07706779224742,0.30799315446263525,0.0,0.6666666666666666
0.05,1.0,5000,79.90629524899695,0.18950742376159213,0.0,0.3333333333333333
0.05,3.0,500,200.2503190160819,0.44220100647333266,0.0,1.0
0.05,3.0,1000,89.54571395648173,0.08039667691283896,0.0,1.0
0.05,3.0,2000,58.69375990759136,0.30799330799541486,0.0,0.6666666666666666
0.05,3.0,5000,81.48465385890738,0.18938517336202207,0.0,0.3333333333333333
0.05,5.0,500,200.25269813532563,0.4422009441534403,0.0,1.0
0.05,5.0,1000,88.61037863432813,0.08039823102378423,0.0,1.0
0.05,5.0,2000,59.08293072898539,0.30799242942340227,0.0,0.6666666666666666
0.05,5.0,5000,82.68373614578563,0.18927200702470506,0.0,0.3333333333333333
0.05,10.0,500,200.23802356152348,0.44220113777778264,0.0,1.0
0.05,10.0,1000,87.50065393393913,0.08039545160592497,0.0,1.0
0.05,10.0,2000,60.78241442969676,0.3079916762346728,0.0,0.6666666666666666
0.05,10.0,5000,81.02466173770132,0.18945063514009178,0.0,0.3333333333333333
0.08,0.0,500,123.37205077495167,0.4421998440406132,0.0,1.0
0.08,0.0,1000,61.180487386962675,0.0803917720517162,0.0,1.0
0.08,0.0,2000,30.958558197007324,0.3077478763321016,0.0,0.6666666666666666
0.08,0.0,5000,32.30734122003887,0.18775364320313948,0.0,0.3333333333333333
0.08,1.0,500,123.31452876577498,0.44219972394268625,0.0,1.0
0.08,1.0,1000,61.12195514726929,0.08039128186586414,0.0,1.0
0.08,1.0,2000,30.99186002272206,0.30774693883866183,0.0,0.6666666666666666
0.08,1.0,5000,33.25290746985156,0.18761055797904266,0.0,0.3333333333333333
0.08,3.0,500,123.20070525394037,0.4421998355640934,0.0,1.0
0.08,3.0,1000,61.09718567255944,0.08039146294090833,0.0,1.0
0.08,3.0,2000,31.09681160292674,0.30774646786532617,0.0,0.6666666666666666
0.08,3.0,5000,28.276836913007088,0.18782850458290767,0.0,0.3333333333333333
0.08,5.0,500,123.08778987136611,0.4421998389352047,0.0,1.0
0.08,5.0,1000,61.07871496803721,0.08039318690376196,0.0,1.0
0.08,5.0,2000,31.227425681261774,0.307745387058243,0.0,0.6666666666666666
0.08,5.0,5000,37.395315573508846,0.1887937575837195,0.0,0.3333333333333333
0.08,10.0,500,122.83366410726796,0.4421995293095032,0.0,1.0
0.08,10.0,1000,60.952899549031656,0.08039087325633643,0.0,1.0
0.08,10.0,2000,31.48198848640908,0.3077440952454469,0.0,0.6666666666666666
0.08,10.0,5000,15.293739359739993,0.1886568624630073,0.0,0.3333333333333333
0.15,0.0,500,36.53584639972512,0.44217694945600083,0.0,0.3333333333333333
0.15,0.0,1000,47.00778072390841,0.08036309706001626,0.0,0.6666666666666666
0.15,0.0,2000,8.525854340009904,0.31260868067482356,0.0,0.0
0.15,0.0,5000,24.968791704023385,0.30360651037322695,0.0,0.3333333333333333
0.15,1.0,500,36.51004208849906,0.4421770172226848,0.0,0.3333333333333333
0.15,1.0,1000,47.047030533256624,0.08036263797232525,0.0,0.6666666666666666
0.15,1.0,2000,8.522985541313256,0.3125772421077832,0.0,0.0
0.15,1.0,5000,25.093616368580427,0.3038254709372166,0.0,0.3333333333333333
0.15,3.0,500,36.45937976286542,0.44217642646991084,0.0,0.3333333333333333
0.15,3.0,1000,47.11968670205494,0.08036520694719827,0.0,0.6666666666666666
0.15,3.0,2000,8.516426355050967,0.3125137885537069,0.0,0.0
0.15,3.0,5000,25.440709132485683,0.3042459115940817,0.0,0.3333333333333333
0.15,5.0,500,36.41005042644434,0.44217673965665827,0.0,0.3333333333333333
0.15,5.0,1000,47.18958517522871,0.08036458307769341,0.0,0.6666666666666666
0.15,5.0,2000,8.512713395178222,0.3124506824928762,0.0,0.0
0.15,5.0,5000,25.838012085679576,0.30463410830752563,0.0,0.3333333333333333
0.15,10.0,500,36.290237705354464,0.4421766703437515,0.0,0.3333333333333333
0.15,10.0,1000,47.36741571344783,0.08036350870670368,0.0,0.6666666666666666
0.15,10.0,2000,8.51051570554227,0.3122942291883613,0.0,0.0
0.15,10.0,5000,26.543447215729188,0.30549661403328465,0.0,0.6666666666666666
