stimulus,ngspice_vs_gt_rel_pct,pytorch_vs_gt_rel_pct,ngspice_vs_pybehav_rel_pct,ngspice_vs_pybehav_rmse,ngspice_vs_gt_rmse,alpha_hat,ngspice_version
dc_read,2.11758236813575e-14,274.06576122442874,2.11758236813575e-14,4.235164736271502e-22,4.235164736271502e-22,0.06687601028255064,ngspice_con (native B-source netlist)
pulse_train,30.617943185338735,70.80098893522909,0.7380271607562858,1.490144557941171e-07,5.901810630388663e-06,0.06687601028255064,ngspice_con (native B-source netlist)
sinusoid,52.07571631961198,117.28860821508873,0.1739078526188507,2.8691946736699286e-07,9.319243324728349e-05,0.06687601028255064,ngspice_con (native B-source netlist)
crosstalk,30.102736357951336,89.14342239435655,0.49365513581570036,1.1450089900461987e-07,6.331095599748695e-06,0.06687601028255064,ngspice_con (native B-source netlist)
ood_pulse,79.01083879488152,99.42232724956541,0.9810166770398497,0.0001609017197822841,0.012968801663653941,0.06687601028255064,ngspice_con (native B-source netlist)
