stimulus,n,va_vs_gt_rmse,va_vs_gt_mae,pt_vs_gt_rmse,pt_vs_gt_mae,va_vs_pt_rmse,va_vs_gt_rel_pct,pt_vs_gt_rel_pct,va_n_contributions,va_n_states,alpha_hat
dc_read,2001,0.0,0.0,1.0220129836141444e-05,8.318440963035225e-06,1.0220129836141444e-05,0.0,415.92204815176103,2,1,0.06687601028255064
pulse_train,2001,6.475818106219128e-06,5.076860081287401e-06,1.1815650285224912e-05,9.482151673219645e-06,9.430247603018232e-06,31.006210902404334,57.91091144546176,2,1,0.06687601028255064
sinusoid,2001,0.00011102248458947768,7.973665367005875e-05,0.00021519418773419395,0.0001697670395655543,0.00010744593590714308,53.200133193014764,113.26822359567728,2,1,0.06687601028255064
crosstalk,3000,7.551332109513133e-06,4.235491630003009e-06,1.573080613116445e-05,1.1507778019440782e-05,1.3546853726837944e-05,31.84048361818535,86.51019752090912,2,1,0.06687601028255064
ood_pulse,2001,0.023744006883997547,0.010189125840217044,0.028722322187940904,0.012654193950550615,0.005009204842428055,80.13786610801749,99.52572148157006,2,1,0.06687601028255064
