method,val_mse,epochs_to_thr,wall_s,params,mem_kb,alpha_err_pct,human_decisions
Manual Psi-xLSTM,7.154813298863397e-07,43.333333333333336,4.054639577865601,16305.0,63.69140625,68.96226318420251,4.0
Psi-Vortex (full),1.1372129673133575e-09,5.333333333333333,3.833803733189901,43657.0,170.53515625,19.032679737749813,0.0
