alpha_gt,method,alpha_rec_mean,alpha_rec_std,alpha_err_mean,alpha_err_std,latent_corr,val_mse,false_pos,alpha_rec_bestseed,alpha_err_bestseed,r2_bestseed
0.0,MLP,0.13162147456811968,0.011458808096671743,,,0.299661012124738,5.955784653603283e-07,1.0,0.13441713889559107,,0.5016088528788005
0.0,Manual Psi-xLSTM,0.14927379161201226,0.033634846344381825,,,0.2207285705380384,7.145836396678836e-07,1.0,0.13434052327112614,,0.7452698644032048
0.0,Psi-Vortex,0.0006822011003439395,0.03607512654610225,,,0.3084857865967796,2.2616623996061605e-10,0.6666666666666666,-0.0005112366904704142,,0.7281641700798954
0.0,Vanilla xLSTM,0.1818376123066643,0.08611635972019605,,,0.32932344858024504,1.0489869528858739e-05,1.0,0.15080902774475674,,0.13134533032202597
0.03,MLP,0.12588891422851417,0.014047644011499983,319.6297140950473,46.82548003833326,0.2996609945135975,5.954089156527213e-07,0.0,0.11693525086540305,289.7841695513435,0.5995125798106871
0.03,Manual Psi-xLSTM,0.15069518305758858,0.03244024313663164,402.31727685862853,108.13414378877214,0.2207045563807025,7.14692030593748e-07,0.0,0.13614110986172082,353.8036995390694,0.739062451049853
0.03,Psi-Vortex,0.003743018818524966,0.03216362593774559,111.48400133777285,65.89303451485671,0.3084703446143369,2.3035717315137796e-10,0.0,-0.01713586675670553,157.11955585568512,0.6450480128173648
0.03,Vanilla xLSTM,0.18167499029481374,0.08616887031588792,505.5833009827126,287.22956771962646,0.32932209084391384,1.0490003584588218e-05,0.0,0.15091883531186517,403.062784372884,0.13156589584651457
0.05,MLP,0.12136783440489675,0.01983289258949563,142.7356688097935,39.665785178991264,0.29966106529534114,5.952376630110242e-07,0.0,0.10358884977768451,107.177699555369,0.6605742756664164
0.05,Manual Psi-xLSTM,0.14431956919265929,0.03878480585487086,188.63913838531857,77.56961170974172,0.2206713693671921,7.148296390369069e-07,0.0,0.18797061044385072,275.94122088770143,0.41346506092174673
0.05,Psi-Vortex,0.010044063395460092,0.034727337762447456,79.91187320907983,69.45467552489492,0.3084468396489279,2.583714492354616e-10,0.0,-0.006351962261408977,112.70392452281797,0.3978041463451203
0.05,Vanilla xLSTM,0.1816153645494675,0.08611456684930359,263.230729098935,172.22913369860714,0.32932029791044864,1.04890882255404e-05,0.0,0.15129749568452058,202.59499136904117,0.1404584178630801
0.08,MLP,0.11707956988947521,0.025700725852765373,46.349462361844,32.12590731595672,0.29966144656963667,5.952699027034214e-07,0.0,0.09347144611113364,16.839307638917052,0.6318354042704913
0.08,Manual Psi-xLSTM,0.13516981054736202,0.0275684973148494,68.96226318420251,34.46062164356175,0.22056175928168428,7.154813298863397e-07,0.0,0.1613132494667346,101.64156183341824,0.49261696768130386
0.08,Psi-Vortex,0.047023324867320616,0.019364223232293993,41.22084391584924,24.20527904036749,0.30837649226947544,6.244412810903673e-10,0.0,0.06687601028255064,16.40498714681171,0.07027057389066863
0.08,Vanilla xLSTM,0.18144999369816994,0.08620650156740792,126.81249212271241,107.75812695925988,0.32931468480048326,1.0485540371973912e-05,0.0,0.15269217202115948,90.86521502644935,0.17401746727597048
0.1,MLP,0.11924709799794501,0.02333730956782261,19.578588149702796,22.919958965377937,0.29966854679099947,5.973510871134143e-07,0.0,0.11323685305038779,13.236853050387785,0.6349777932328358
0.1,Manual Psi-xLSTM,0.12543275203931686,0.034798491826698745,35.261977659937855,17.77812546693119,0.22040378039040487,7.172355935836094e-07,0.0,0.1460833790735422,46.083379073542204,0.6501168256161851
0.1,Psi-Vortex,0.0722719588578256,0.009265863078387162,27.728041142174405,9.265863078387166,0.3083342823566598,2.2650872751513638e-09,0.0,0.07261159056895301,27.388409431046988,0.04637069707395839
0.1,Vanilla xLSTM,0.18180119018121507,0.08651689499379961,81.80119018121506,86.5168949937996,0.3293068910884145,1.0477214649048014e-05,0.0,0.15474079360876605,54.74079360876605,0.21960023771299858
0.15,MLP,0.1584191592224332,0.006524151747640183,5.612772814955463,4.349434498426789,0.29967787002493623,7.863432311220701e-07,0.0,0.1508992502904998,0.5995001936665394,0.325791240686378
0.15,Manual Psi-xLSTM,0.15022072377242587,0.02683790115686567,13.072003420659106,7.989860773531715,0.2190482685236299,8.537669202723919e-07,0.0,0.143620127757185,4.253248161876666,0.12415277451788796
0.15,Psi-Vortex,0.12904781136711663,0.0025105849911842377,13.968125755255585,1.6737233274561565,0.31367078644587415,1.3417147333901389e-07,0.0,0.13194055471098454,12.039630192676972,0.04324839114919635
0.15,Vanilla xLSTM,0.19695540550125587,0.06936694640240293,31.410334481443545,46.13594721919533,0.32924660295511715,1.051044440221934e-05,0.0,0.16450669694008668,9.671131293391126,0.3282139639431999
0.2,MLP,0.21253204506733533,0.00760306434344697,6.266022533667662,3.8015321717234856,0.29976182209263336,1.4310282002346261e-05,0.0,0.2092298067220822,4.6149033610410894,0.5089585369664724
0.2,Manual Psi-xLSTM,0.21217989393715983,0.012206915502983579,6.0899469685799055,6.103457751491783,0.21123525743432348,1.1164435136379325e-05,0.0,0.20227570084878274,1.137850424391365,0.6031791995407035
0.2,Psi-Vortex,0.20120654291315485,0.014447770960141616,5.20318290272879,3.481487846565836,0.5755210322032976,8.04958282666727e-06,0.0,0.21741936307791862,8.709681538959305,0.1626180161623647
0.2,Vanilla xLSTM,0.23045666190372585,0.028299049864257016,15.22833095186293,14.149524932128513,0.3289977004583862,2.2121244910522364e-05,0.0,0.2135138371020849,6.756918551042449,0.41653700093013707
