artifact,alpha_err_pct,degradation_pp,latent_corr,K_std,r_std,val_mse,ambiguous
none,41.22084391584924,0.0,0.30837649226947544,0.0,0.0,6.244412810903673e-10,0
contact_drift,36.15787704199881,-5.062966873850428,0.30837278633246573,0.0,0.0,7.232235412398443e-10,0
read_noise,40.79118740213268,-0.42965651371655866,0.30837748416186267,0.0,0.0,6.251435572905232e-10,0
amp_jitter,39.419425726991086,-1.8014181888581504,0.30838369615905453,0.0,0.0,6.506035432618518e-10,0
baseline_drift,39.6570505261171,-1.5637933897321403,0.3083772199260069,0.0,0.0,6.294806296584335e-10,0
device_variation,40.33841478380967,-0.8824291320395687,0.3083650945943353,0.0,0.0,6.16016520201453e-10,0
aging,45.2576650304779,4.036821114628665,0.3083796355931651,0.0,0.0,5.3264544164211e-10,0
missing_samples,41.234870162497664,0.014026246648427332,0.3083761856257479,0.0,0.0,6.244186047850894e-10,0
