seed,method,val_mse,epochs_to_thr,wall_s,params,mem_kb,alpha_err_pct,selected_K,selected_r,human_decisions,va_lines
42,Manual Psi-xLSTM,3.2200279065364157e-07,6,4.1326072216033936,16305,63.69140625,32.96092461611298,manual,manual,4,18
42,Psi-Vortex (full),1.5842454015313479e-09,6,3.6498608589172363,4313,16.84765625,24.949999868431526,8,16,0,18
123,Manual Psi-xLSTM,1.528716552456899e-06,114,4.260486364364624,16305,63.69140625,101.64156183341824,manual,manual,4,18
123,Psi-Vortex (full),1.638482238774941e-09,4,3.7881295680999756,63329,247.37890625,9.833313711216512,8,63,0,18
456,Manual Psi-xLSTM,2.9572464654847863e-07,10,3.770825147628784,16305,63.69140625,72.2843031030763,manual,manual,4,18
456,Psi-Vortex (full),1.8891126163378402e-10,6,4.06342077255249,63329,247.37890625,22.314725633601398,8,63,0,18
