source_device,target_device,seed,correlation,nrmse,checkpoint_path,checkpoint_hash,checkpoint_file_sha256,model_class,model_architecture,model_parameter_count,train_source_ids,validation_source_ids,test_source_ids,profile,execution_device,device,cluster_count
GO-PEI3,GO-PEI3,0,0.9999051985296515,0.01015737939628657,checkpoints/cross_device_GO-PEI3_seed0.pt,a3ff3ad5e17ea048ab857ab8363c3a122fad79529ce468ce3bcc46e1490e183c,124c7de213afc6eb44a935aa6fed23ef25023fb3c7b9fc6f1b2da9ff9331b41f,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 16, ""input_size"": 2, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 993}",993,GO-PEI3-1p0_400mvs-cycle-1;GO-PEI3-1p0_400mvs-cycle-2;GO-PEI3-1p0_400mvs-cycle-3;GO-PEI3-1p0_400mvs-cycle-4;GO-PEI3-1p0_400mvs-cycle-5;GO-PEI3-1p0_400mvs-cycle-6,GO-PEI3-1p0_400mvs-cycle-7;GO-PEI3-1p0_400mvs-cycle-8,GO-PEI3-1p0_400mvs-cycle-9;GO-PEI3-1p0_400mvs-cycle-10;GO-PEI3-1p0_400mvs-cycle-11,final,cuda,cuda,16
GO-PEI3,GO-PEI4,0,0.9869974027951299,0.06258835321274556,checkpoints/cross_device_GO-PEI3_seed0.pt,a3ff3ad5e17ea048ab857ab8363c3a122fad79529ce468ce3bcc46e1490e183c,124c7de213afc6eb44a935aa6fed23ef25023fb3c7b9fc6f1b2da9ff9331b41f,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 16, ""input_size"": 2, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 993}",993,GO-PEI3-1p0_400mvs-cycle-1;GO-PEI3-1p0_400mvs-cycle-2;GO-PEI3-1p0_400mvs-cycle-3;GO-PEI3-1p0_400mvs-cycle-4;GO-PEI3-1p0_400mvs-cycle-5;GO-PEI3-1p0_400mvs-cycle-6,GO-PEI3-1p0_400mvs-cycle-7;GO-PEI3-1p0_400mvs-cycle-8,GO-PEI4-1p0_400mvs-cycle-9;GO-PEI4-1p0_400mvs-cycle-10;GO-PEI4-1p0_400mvs-cycle-11,final,cuda,cuda,16
GO-PEI3,GO-PDADMAC4,1,0.9808570813245178,0.08434912523732098,checkpoints/cross_device_GO-PEI3_seed1.pt,cb6948ca1a5ca827bf9eca84bee3f3d7b09e89a08dfa63e9b12542da84b639e0,7ff479e4a4a1f452b72b4ff1256919e18ca0d177653ec3fa0407f39b2cd13a4c,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 16, ""input_size"": 2, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 993}",993,GO-PEI3-1p0_400mvs-cycle-1;GO-PEI3-1p0_400mvs-cycle-2;GO-PEI3-1p0_400mvs-cycle-3;GO-PEI3-1p0_400mvs-cycle-4;GO-PEI3-1p0_400mvs-cycle-5;GO-PEI3-1p0_400mvs-cycle-6,GO-PEI3-1p0_400mvs-cycle-7;GO-PEI3-1p0_400mvs-cycle-8,GO-PDADMAC4-1p0_400mvs-cycle-9;GO-PDADMAC4-1p0_400mvs-cycle-10;GO-PDADMAC4-1p0_400mvs-cycle-11,final,cuda,cuda,16
GO-PEI3,GO-PEI3,1,0.9999322598153386,0.0116682398437576,checkpoints/cross_device_GO-PEI3_seed1.pt,cb6948ca1a5ca827bf9eca84bee3f3d7b09e89a08dfa63e9b12542da84b639e0,7ff479e4a4a1f452b72b4ff1256919e18ca0d177653ec3fa0407f39b2cd13a4c,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 16, ""input_size"": 2, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 993}",993,GO-PEI3-1p0_400mvs-cycle-1;GO-PEI3-1p0_400mvs-cycle-2;GO-PEI3-1p0_400mvs-cycle-3;GO-PEI3-1p0_400mvs-cycle-4;GO-PEI3-1p0_400mvs-cycle-5;GO-PEI3-1p0_400mvs-cycle-6,GO-PEI3-1p0_400mvs-cycle-7;GO-PEI3-1p0_400mvs-cycle-8,GO-PEI3-1p0_400mvs-cycle-9;GO-PEI3-1p0_400mvs-cycle-10;GO-PEI3-1p0_400mvs-cycle-11,final,cuda,cuda,16
GO-PEI3,GO-PEI4,1,0.988254927948042,0.05666901552311487,checkpoints/cross_device_GO-PEI3_seed1.pt,cb6948ca1a5ca827bf9eca84bee3f3d7b09e89a08dfa63e9b12542da84b639e0,7ff479e4a4a1f452b72b4ff1256919e18ca0d177653ec3fa0407f39b2cd13a4c,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 16, ""input_size"": 2, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 993}",993,GO-PEI3-1p0_400mvs-cycle-1;GO-PEI3-1p0_400mvs-cycle-2;GO-PEI3-1p0_400mvs-cycle-3;GO-PEI3-1p0_400mvs-cycle-4;GO-PEI3-1p0_400mvs-cycle-5;GO-PEI3-1p0_400mvs-cycle-6,GO-PEI3-1p0_400mvs-cycle-7;GO-PEI3-1p0_400mvs-cycle-8,GO-PEI4-1p0_400mvs-cycle-9;GO-PEI4-1p0_400mvs-cycle-10;GO-PEI4-1p0_400mvs-cycle-11,final,cuda,cuda,16
GO-PEI3,GO-PDADMAC4,2,0.9812083345655142,0.08580343906503334,checkpoints/cross_device_GO-PEI3_seed2.pt,a08903309aa37f57902f872dff1608ef91ae0b6faaab5ca17982540067e0a61e,350219ac9edc19a3cf7e4afceaab1afea0fae829535ae170fae91f4e6d84c417,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 16, ""input_size"": 2, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 993}",993,GO-PEI3-1p0_400mvs-cycle-1;GO-PEI3-1p0_400mvs-cycle-2;GO-PEI3-1p0_400mvs-cycle-3;GO-PEI3-1p0_400mvs-cycle-4;GO-PEI3-1p0_400mvs-cycle-5;GO-PEI3-1p0_400mvs-cycle-6,GO-PEI3-1p0_400mvs-cycle-7;GO-PEI3-1p0_400mvs-cycle-8,GO-PDADMAC4-1p0_400mvs-cycle-9;GO-PDADMAC4-1p0_400mvs-cycle-10;GO-PDADMAC4-1p0_400mvs-cycle-11,final,cuda,cuda,16
GO-PEI3,GO-PEI3,2,0.9998362377556428,0.011912095377939377,checkpoints/cross_device_GO-PEI3_seed2.pt,a08903309aa37f57902f872dff1608ef91ae0b6faaab5ca17982540067e0a61e,350219ac9edc19a3cf7e4afceaab1afea0fae829535ae170fae91f4e6d84c417,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 16, ""input_size"": 2, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 993}",993,GO-PEI3-1p0_400mvs-cycle-1;GO-PEI3-1p0_400mvs-cycle-2;GO-PEI3-1p0_400mvs-cycle-3;GO-PEI3-1p0_400mvs-cycle-4;GO-PEI3-1p0_400mvs-cycle-5;GO-PEI3-1p0_400mvs-cycle-6,GO-PEI3-1p0_400mvs-cycle-7;GO-PEI3-1p0_400mvs-cycle-8,GO-PEI3-1p0_400mvs-cycle-9;GO-PEI3-1p0_400mvs-cycle-10;GO-PEI3-1p0_400mvs-cycle-11,final,cuda,cuda,16
GO-PEI3,GO-PEI4,2,0.9883777505585861,0.05870118284414467,checkpoints/cross_device_GO-PEI3_seed2.pt,a08903309aa37f57902f872dff1608ef91ae0b6faaab5ca17982540067e0a61e,350219ac9edc19a3cf7e4afceaab1afea0fae829535ae170fae91f4e6d84c417,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 16, ""input_size"": 2, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 993}",993,GO-PEI3-1p0_400mvs-cycle-1;GO-PEI3-1p0_400mvs-cycle-2;GO-PEI3-1p0_400mvs-cycle-3;GO-PEI3-1p0_400mvs-cycle-4;GO-PEI3-1p0_400mvs-cycle-5;GO-PEI3-1p0_400mvs-cycle-6,GO-PEI3-1p0_400mvs-cycle-7;GO-PEI3-1p0_400mvs-cycle-8,GO-PEI4-1p0_400mvs-cycle-9;GO-PEI4-1p0_400mvs-cycle-10;GO-PEI4-1p0_400mvs-cycle-11,final,cuda,cuda,16
GO-PEI4,GO-PDADMAC4,0,0.9966542433070048,0.03296125062793493,checkpoints/cross_device_GO-PEI4_seed0.pt,fc056d280976dd1e7adb9ac0a58b2e93586780308b630a8b5d99fa45f565762f,dfca0c8ae1648dc5ddf137dcf17038cce29af592a550496f7994fb6af3979d25,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 16, ""input_size"": 2, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 993}",993,GO-PEI4-1p0_400mvs-cycle-1;GO-PEI4-1p0_400mvs-cycle-2;GO-PEI4-1p0_400mvs-cycle-3;GO-PEI4-1p0_400mvs-cycle-4;GO-PEI4-1p0_400mvs-cycle-5;GO-PEI4-1p0_400mvs-cycle-6,GO-PEI4-1p0_400mvs-cycle-7;GO-PEI4-1p0_400mvs-cycle-8,GO-PDADMAC4-1p0_400mvs-cycle-9;GO-PDADMAC4-1p0_400mvs-cycle-10;GO-PDADMAC4-1p0_400mvs-cycle-11,final,cuda,cuda,16
GO-PEI4,GO-PEI3,0,0.9883099150868262,0.05865426195356504,checkpoints/cross_device_GO-PEI4_seed0.pt,fc056d280976dd1e7adb9ac0a58b2e93586780308b630a8b5d99fa45f565762f,dfca0c8ae1648dc5ddf137dcf17038cce29af592a550496f7994fb6af3979d25,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 16, ""input_size"": 2, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 993}",993,GO-PEI4-1p0_400mvs-cycle-1;GO-PEI4-1p0_400mvs-cycle-2;GO-PEI4-1p0_400mvs-cycle-3;GO-PEI4-1p0_400mvs-cycle-4;GO-PEI4-1p0_400mvs-cycle-5;GO-PEI4-1p0_400mvs-cycle-6,GO-PEI4-1p0_400mvs-cycle-7;GO-PEI4-1p0_400mvs-cycle-8,GO-PEI3-1p0_400mvs-cycle-9;GO-PEI3-1p0_400mvs-cycle-10;GO-PEI3-1p0_400mvs-cycle-11,final,cuda,cuda,16
