learning_rate,seed,alpha_rec,r2,accepted,validation_mse,test_mse,checkpoint_path,checkpoint_hash,checkpoint_file_sha256,model_class,model_architecture,model_parameter_count,train_source_ids,validation_source_ids,test_source_ids,profile,execution_device,device,cluster_count
0.0001,0,0.0055535149712189905,0.06151369548680422,False,3.9282766395356075,2.000103873244003,checkpoints/learning_rate_0.0001_seed0.pt,7f905acb7ecdc6a2d56f5f8524ede4161df079dc55c38824c3475ff7f2482a37,6c89c471e89b239ac0e64ee4bb4fa6b087a89464e152ab814eb65b4e0fe437be,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 8, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 281}",281,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,final,cuda,cuda,8
0.0001,1,0.0009261349810558329,0.05546305950102522,False,4.111355359810757,2.0487462989837524,checkpoints/learning_rate_0.0001_seed1.pt,19122e7b8600b3f4bcdbd2a0c329d743a7d91fec452c2b3a1382704a93eea3ff,c2de91c081ee65d08a6c97162903f568ab2cea29d0822bdbd379fc893588a4ab,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 4, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 277}",277,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,final,cuda,cuda,4
0.0001,2,0.0002251769539988597,0.012423015094492987,False,3.145192180496763,1.3999235398899195,checkpoints/learning_rate_0.0001_seed2.pt,fcc41c5b028fab1a0f80c3485e742d72133b33a439346b0c47a09c692f6a5b32,cd8cd945526bd0e0886bbe5666b47853b7f2148992dc62fdf26d6e77a02decd1,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 4, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 277}",277,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,final,cuda,cuda,4
0.001,0,0.08476890240695606,0.9724404719062067,True,0.051593909700553255,0.04203711784535037,checkpoints/learning_rate_0.001_seed0.pt,0b8f60619033e10098ea0398af02f6a885d6421e40544a6606bac6ad8664a296,9d0744fb8fd6313eb4af8b80512bd06ca67b28b71e8c2b11583585d2768acbf1,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,final,cuda,cuda,16
0.001,1,0.060006725288115396,0.9059644173860146,True,1.4591239534051295,1.1727554706304988,checkpoints/learning_rate_0.001_seed1.pt,9c47dde1af0524366ad4d4c8146ba93d95ac0a7f05a2d3ff80d5440b8c5ae325,17ceb8a7505ac3ccf9e70cd17a85c734f72f9709381840c83c133324894c21cb,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 8, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 281}",281,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,final,cuda,cuda,8
0.001,2,0.06895720726479941,0.9237835042222894,True,0.11390783302337525,0.11798364707673213,checkpoints/learning_rate_0.001_seed2.pt,af36b0ecc346cb91f0104a0950dfd205f1d8f0b46bbf59f53877fafa5cc0ad60,156556e9acd25ad99280a62b0de5a06321e3e3ba2eeae71fd4580b546e52b693,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,final,cuda,cuda,16
0.01,0,0.02750933221487568,0.4067216962034706,False,3.5530298240631226,1.927665153189326,checkpoints/learning_rate_0.01_seed0.pt,655b7fb7a0a8a34774c82c985cf1b396541cc56bf366880ca5650bf93c5fe0f2,cd2e39b6fa4d92d0f6b2d0bc449e6a3f82b010511bf843503f32294344250e14,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 16, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 289}",289,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,final,cuda,cuda,16
0.01,1,0.05452496270479357,0.5793777955848425,False,23.240292735308763,22.949301102880145,checkpoints/learning_rate_0.01_seed1.pt,1a25393ac8198fd01946312c212f042798a6adac5823d753c5a8a33be5c7f0b8,f29c759ee5cc358da2161ac9ead9418d43110fe89dcd7e79398a8934ecedb0ce,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 4, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 277}",277,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,final,cuda,cuda,4
0.01,2,0.08546465884744246,0.9720867138246398,True,0.14731904899931525,0.12429514222569359,checkpoints/learning_rate_0.01_seed2.pt,15e4beba6804647bdc3e4ecb6a354242efc9db26cd5046fc920ca7545263ac9f,1f8c184911023c7f2e4d5ba1733c4cceb9abc3924f55d613c20a66c40f75c483,GloballyClusteredModel,"{""class"": ""RecurrentStudent"", ""hidden_size"": 8, ""input_size"": 1, ""materialized_cluster_count"": 8, ""num_layers"": 1, ""output_size"": 1, ""parameters"": 281}",281,driver-42-tau0.05-heat800-artifactnone;driver-123-tau0.05-heat800-artifactnone;driver-456-tau0.05-heat800-artifactnone;driver-7-tau0.05-heat800-artifactnone;driver-99-tau0.05-heat800-artifactnone,driver-999-tau0.05-heat800-artifactnone,driver-777-tau0.05-heat800-artifactnone;driver-888-tau0.05-heat800-artifactnone;driver-555-tau0.05-heat800-artifactnone,final,cuda,cuda,8
