weights,profile,minibatch_dof,minibatch_runtime_s,rff_dof,rff_runtime_s,exact_dof,exact_runtime_s,minibatch_relative_error,rff_relative_error,minibatch_gradient_cosine,rff_gradient_cosine,execution_device,device,seed
500,final,5.293379306793213,0.005424299975857139,5.6000871658325195,0.005591300083324313,5.197173118591309,0.0002560000866651535,0.018511253330730098,0.07752561595454811,0.8960726261138916,0.9525771141052246,cuda,cuda,0
1000,final,5.236469268798828,0.00024099997244775295,5.589183807373047,0.00023559993132948875,5.192982196807861,0.0001938999630510807,0.008374200092135575,0.07629558422301767,0.823794424533844,0.9459354281425476,cuda,cuda,0
2000,final,5.209205627441406,0.00018960004672408104,5.585844039916992,0.0002478999085724354,5.190408229827881,0.00031509995460510254,0.003621564389772234,0.07618587837015363,0.7239923477172852,0.9498991370201111,cuda,cuda,0
5000,final,5.230118274688721,0.0003823998849838972,5.591331481933594,0.0007775998674333096,5.193896770477295,0.0017578001134097576,0.006973859091176583,0.0765195630601215,0.5416157245635986,0.9511603713035583,cuda,cuda,0
8000,final,5.259227752685547,0.000291300006210804,5.592552185058594,0.0002544999588280916,5.194766044616699,0.021640799939632416,0.012408972322372225,0.07657440913130585,0.46181541681289673,0.9517571926116943,cuda,cuda,0
20000,final,5.286439895629883,0.0038298999425023794,5.592886924743652,0.005725699942559004,,,,,,,cuda,cuda,0
50000,final,5.257045269012451,0.025182100012898445,5.596704006195068,0.016276000067591667,,,,,,,cuda,cuda,0
