layer,distance,alpha_true,alpha_rec,alpha_std,r2,err_pct
1,1,0.12,0.13144765592716512,0.00038235457406997624,0.9741955122975151,9.539713272637604
2,2,0.08,0.08775847386897508,0.00042983425432158314,0.9795574621630104,9.698092336218842
3,3,0.05,0.05523027894224065,0.0002924589800804897,0.974051164767087,10.46055788448129
