rate_sheet,corr,nrmse,i_scale_uA
1p0_400mvs,0.9984229588956203,0.0166583601385355,16.77602
1p0_200mvs,0.9879478260304098,0.05973091721534729,16.0211
1p0_100mvs,0.9881876516030977,0.06146532669663429,17.81339
1p0_50mvs,0.9900031216556365,0.05727782100439072,19.02503
