alpha_gt,alpha_recovered,relative_error_pct,val_loss,train_time_s,seed
0.05,-1.705547653906049,3511.095307812098,1.9869068890177033e-10,5.639258623123169,42
0.05,-0.015860140623220345,131.7202812464407,6.124514784211499e-11,5.180632829666138,123
0.05,-0.8749119258231062,1849.8238516462125,1.8558667103096838e-10,5.843050479888916,456
0.08,0.0932943841337166,16.61798016714575,3.6370739753266434e-09,5.799503326416016,42
0.08,0.08511900596609055,6.398757457613188,3.9419698061315955e-10,5.587747573852539,123
0.08,-0.12040073651874174,250.50092064842718,2.695601519775437e-10,5.525680303573608,456
0.1,0.13484030903041977,34.84030903041976,2.8650067207536267e-08,5.791087865829468,42
0.1,0.1114468426215881,11.446842621588099,2.3644870505989957e-09,5.7397778034210205,123
0.1,0.10443247671669831,4.432476716698303,6.203225710876836e-10,5.389068126678467,456
0.15,0.10873833613759898,27.507775908267345,7.120223077805576e-09,5.412404537200928,42
0.15,0.17138668244969393,14.257788299795958,2.39964094816969e-07,5.764043092727661,123
0.15,0.18932527865111143,26.21685243407429,1.859985232499639e-08,5.496264934539795,456
0.2,0.23134345368935913,15.67172684467956,1.370196150674019e-05,5.426742315292358,42
0.2,0.2388914382415356,19.445719120767798,2.03380586754065e-05,5.585509538650513,123
0.2,-2.524054356234724,1362.0271781173622,3.249300561947166e-06,5.927329063415527,456
