alpha_gt,alpha_recovered,relative_error_pct,val_loss,train_time_s,seed
0.05,-1.705547653906049,3511.095307812098,1.9869068890177033e-10,6.709760904312134,42
0.05,-0.015860140623220345,131.7202812464407,6.124514784211499e-11,6.360567808151245,123
0.05,-0.8749119258231062,1849.8238516462125,1.8558667103096838e-10,6.385728597640991,456
0.08,0.0932943841337166,16.61798016714575,3.6370739753266434e-09,5.333845376968384,42
0.08,0.08511900596609055,6.398757457613188,3.9419698061315955e-10,5.636749744415283,123
0.08,-0.12040073651874174,250.50092064842718,2.695601519775437e-10,6.156183958053589,456
0.1,0.13484030903041977,34.84030903041976,2.8650067207536267e-08,6.462257623672485,42
0.1,0.1114468426215881,11.446842621588099,2.3644870505989957e-09,6.03698205947876,123
0.1,0.10443247671669831,4.432476716698303,6.203225710876836e-10,5.2817909717559814,456
0.15,0.10873833613759898,27.507775908267345,7.120223077805576e-09,6.027098178863525,42
0.15,0.17138668244969393,14.257788299795958,2.39964094816969e-07,6.101317405700684,123
0.15,0.18932527865111143,26.21685243407429,1.859985232499639e-08,6.233699560165405,456
0.2,0.23134345368935913,15.67172684467956,1.370196150674019e-05,6.367847204208374,42
0.2,0.2388914382415356,19.445719120767798,2.03380586754065e-05,6.515905141830444,123
0.2,-2.524054356234724,1362.0271781173622,3.249300561947166e-06,6.118159770965576,456
