W,full_dof,t_full,mb_dof,t_mb,rff_dof,t_rff,mb_err_pct,rff_err_pct,speedup_mb,speedup_rff
500,5.197173118591309,0.00040216666669342277,5.278045654296875,0.0002599666665143256,5.6000871658325195,0.0004399666668177815,1.5560870084598388,7.752561595454812,1.546993205266419,0.914084400080213
1000,5.192982196807861,0.00020139999984773263,5.236469268798828,0.00019889999991088794,5.589183807373047,0.0002168000000892789,0.8374200092135575,7.629558422301768,1.0125691299042974,0.928966788583005
2000,5.190408706665039,0.00018173333349598883,5.209205627441406,0.00026403333352694364,5.585844039916992,0.000269033333400633,0.36214721881592743,7.618577950213669,0.688296932316857,0.6755048945007839
5000,5.193896770477295,0.0018935999999788085,5.230118274688721,0.000227666666736089,5.591331481933594,0.00028436666677104466,0.6973859091176584,7.651956306012151,8.317423130606413,6.659008320069469
8000,5.194766044616699,0.004791199999999662,5.259227752685547,0.0002476333332500265,5.592552185058594,0.00024726666651986307,1.2408972322372225,7.657440913130585,19.347960701082837,19.376651400017085
20000,,,5.286439895629883,0.00035813333336894476,5.592886924743652,0.00039243333321792306,,,,
50000,,,5.257045269012451,0.0018396666667589063,5.596704006195068,0.0016826333330755006,,,,
