time,V_driver,T_layer,V_victim,I_victim
0.0,0.0,298.0,0.2,2.0000000000000003e-06
0.00010003334444814937,0.0,298.0,0.2,2.0000000000000003e-06
0.00020006668889629875,0.0,298.0,0.2,2.0000000000000003e-06
0.0003001000333444481,0.0,298.0,0.2,2.0000000000000003e-06
0.0004001333777925975,0.0,298.0,0.2,2.0000000000000003e-06
0.0005001667222407468,0.0,298.0,0.2,2.0000000000000003e-06
0.0006002000666888962,0.0,298.0,0.2,2.0000000000000003e-06
0.0007002334111370456,0.0,298.0,0.2,2.0000000000000003e-06
0.000800266755585195,0.0,298.0,0.2,2.0000000000000003e-06
0.0009003001000333444,0.0,298.0,0.2,2.0000000000000003e-06
0.0010003334444814937,0.0,298.0,0.2,2.0000000000000003e-06
0.0011003667889296432,0.0,298.0,0.2,2.0000000000000003e-06
0.0012004001333777924,0.0,298.0,0.2,2.0000000000000003e-06
0.001300433477825942,0.0,298.0,0.2,2.0000000000000003e-06
0.0014004668222740912,0.0,298.0,0.2,2.0000000000000003e-06
0.0015005001667222407,0.0,298.0,0.2,2.0000000000000003e-06
0.00160053351117039,0.0,298.0,0.2,2.0000000000000003e-06
0.0017005668556185393,0.0,298.0,0.2,2.0000000000000003e-06
0.0018006002000666888,0.0,298.0,0.2,2.0000000000000003e-06
0.001900633544514838,0.0,298.0,0.2,2.0000000000000003e-06
0.0020006668889629873,0.0,298.0,0.2,2.0000000000000003e-06
0.002100700233411137,0.0,298.0,0.2,2.0000000000000003e-06
0.0022007335778592863,0.0,298.0,0.2,2.0000000000000003e-06
0.002300766922307436,0.0,298.0,0.2,2.0000000000000003e-06
0.002400800266755585,0.0,298.0,0.2,2.0000000000000003e-06
0.0025008336112037344,0.0,298.0,0.2,2.0000000000000003e-06
0.002600866955651884,0.0,298.0,0.2,2.0000000000000003e-06
0.002700900300100033,0.0,298.0,0.2,2.0000000000000003e-06
0.0028009336445481824,0.0,298.0,0.2,2.0000000000000003e-06
0.002900966988996332,0.0,298.0,0.2,2.0000000000000003e-06
0.0030010003334444814,0.0,298.0,0.2,2.0000000000000003e-06
0.0031010336778926305,0.0,298.0,0.2,2.0000000000000003e-06
0.00320106702234078,0.0,298.0,0.2,2.0000000000000003e-06
0.0033011003667889295,0.0,298.0,0.2,2.0000000000000003e-06
0.0034011337112370785,0.0,298.0,0.2,2.0000000000000003e-06
0.003501167055685228,0.0,298.0,0.2,2.0000000000000003e-06
0.0036012004001333775,0.0,298.0,0.2,2.0000000000000003e-06
0.003701233744581527,0.0,298.0,0.2,2.0000000000000003e-06
0.003801267089029676,0.0,298.0,0.2,2.0000000000000003e-06
0.0039013004334778256,0.0,298.0,0.2,2.0000000000000003e-06
0.004001333777925975,0.0,298.0,0.2,2.0000000000000003e-06
0.004101367122374125,0.0,298.0,0.2,2.0000000000000003e-06
0.004201400466822274,0.0,298.0,0.2,2.0000000000000003e-06
0.004301433811270423,0.0,298.0,0.2,2.0000000000000003e-06
0.004401467155718573,0.0,298.0,0.2,2.0000000000000003e-06
0.004501500500166722,0.0,298.0,0.2,2.0000000000000003e-06
0.004601533844614872,0.0,298.0,0.2,2.0000000000000003e-06
0.004701567189063021,0.0,298.0,0.2,2.0000000000000003e-06
0.00480160053351117,0.0,298.0,0.2,2.0000000000000003e-06
0.00490163387795932,0.0,298.0,0.2,2.0000000000000003e-06
0.005001667222407469,0.0,298.0,0.2,2.0000000000000003e-06
0.005101700566855618,0.0,298.0,0.2,2.0000000000000003e-06
0.005201733911303768,0.0,298.0,0.2,2.0000000000000003e-06
0.005301767255751917,0.0,298.0,0.2,2.0000000000000003e-06
0.005401800600200066,0.0,298.0,0.2,2.0000000000000003e-06
0.005501833944648216,0.0,298.0,0.2,2.0000000000000003e-06
0.005601867289096365,0.0,298.0,0.2,2.0000000000000003e-06
0.005701900633544514,0.0,298.0,0.2,2.0000000000000003e-06
0.005801933977992664,0.0,298.0,0.2,2.0000000000000003e-06
0.005901967322440813,0.0,298.0,0.2,2.0000000000000003e-06
0.006002000666888963,0.0,298.0,0.2,2.0000000000000003e-06
0.006102034011337112,0.0,298.0,0.2,2.0000000000000003e-06
0.006202067355785261,0.0,298.0,0.2,2.0000000000000003e-06
0.006302100700233411,0.0,298.0,0.2,2.0000000000000003e-06
