snr_db,vortex_mse_mean,vortex_ci_low,vortex_ci_high,random_mse_mean,mse_improvement_pct,vortex_epochs_mean,random_epochs_mean,conv_speedup
20,6.793076252620267e-08,-1.6910478410332787e-08,1.5277200346273815e-07,5.923361328541432e-07,88.53172062982523,64.6,452.6,7.006191950464397
30,6.792559190671454e-08,-1.6971025888610008e-08,1.528222097020391e-07,5.867086628086326e-07,88.42260286706045,64.6,452.6,7.006191950464397
40,6.792434525948465e-08,-1.6989610504652923e-08,1.5283830102362223e-07,6.001389834864313e-07,88.68189750565998,64.6,452.6,7.006191950464397
50,6.792383082654396e-08,-1.699555279134415e-08,1.5284321444443207e-07,6.001189831295051e-07,88.68160602546945,64.6,452.8,7.009287925696595
60,6.792382798437301e-08,-1.6997466315471147e-08,1.5284512228421718e-07,5.961845090496354e-07,88.606911626629,64.6,452.8,7.009287925696595
