model,val_mse_mean,val_mse_std,train_time_mean_s,train_time_std_s,alpha_recovered_mean,alpha_recovered_std,alpha_error_pct_mean,alpha_error_pct_std,physically_interpretable,verilog_a_capable,n_params
Standard MLP,6.299118211927634e-07,8.171693060864643e-07,1.9398385047912599,0.20649192888798665,-0.07992496920787492,0.5121918731755367,493.1429273524732,394.80721606608677,False,False,8577
Vanilla xLSTM,0.00011958758263972414,0.0002375164199087651,5.658671951293945,0.08800250806912384,-0.2517538524231752,0.763572507885777,749.3282637527371,651.2301707142462,False,False,16305
Psi-Vortex,1.0712415565716782e-09,1.4383596559192336e-09,5.583038759231568,0.3418201082991171,-0.41321557128716807,1.0042929367340152,625.7261591588637,1249.6591544481173,True,True,16305
