,GO-PDADMAC4,GO-PEI3,GO-PEI4
GO-PDADMAC4,0.992454746738734,0.9727577402033698,0.989839350831154
GO-PEI3,0.9800935580315107,0.9999410713106919,0.9877334521488232
GO-PEI4,0.9937072582232457,0.9862763804902944,0.9955346820334019
