model,hidden,params,compression_pct,corr,nrmse
teacher,64,63329,0.0,0.9955346820334019,0.03008679486811161
student-h2,2,51,99.91946817413823,0.99268831994422,0.03676784783601761
student-h4,4,133,99.78998563059578,0.9941620059615425,0.032798584550619125
student-h8,8,393,99.37943122424166,0.9949631950448107,0.030749063938856125
student-h16,16,1297,97.95196513445657,0.9947091485380212,0.031240401789546013
student-h32,32,4641,92.67160384657898,0.9945965035266374,0.03158695250749588
student-h64,64,17473,72.40916483759415,0.9943272434733452,0.03230572119355202
