seed,val_mse,alpha_recovered,alpha_error_pct,ols_r2,train_time_s
42,3.6370739753266434e-09,0.0932943841337166,16.61798016714575,0.9213410001477035,5.989089488983154
123,3.9419698061315955e-10,0.08511900596609055,6.398757457613188,0.9371657621892854,6.0779335498809814
456,2.695601519775437e-10,-0.12040073651874174,250.50092064842718,0.039339574028978475,6.296978950500488
789,5.318931961539874e-10,0.07853071371359932,1.8366078580008514,0.6525908943886904,6.443824529647827
1000,5.234834787870568e-10,-2.202621223730505,2853.276529663131,0.8761871351691113,6.1447434425354
1234,2.3987967168181967e-08,-1.9274342281090546,2509.2927851363183,0.8573331230861433,5.89153265953064
2000,1.0882322820648938e-09,0.14959049953055809,86.9881244131976,0.7961967482430994,6.00929069519043
3000,4.546023113505271e-09,-2.147933073773768,2784.91634221721,0.6971605055191165,6.442239999771118
4000,6.559361387381557e-11,-0.3470945469102828,533.8681836378535,0.1000453883214365,6.34538722038269
5000,3.4637909207546613e-10,-2.5222176786400157,3252.7720983000195,0.7712984044208361,6.134594917297363
